Director,Education,Year Active,Birth Day,Birth Place,Roles,Died,Link
Holger-Madsen,,1912–1936,1878-04-11,"Copenhagen, Denmark",Film directorActorScreenwriter,1,https://en.wikipedia.org/wiki/Holger-Madsen
Barry Mahon,,1959–1994,1921-02-05,"Bakersfield, California","Film director, cinematographer, producer",1,https://en.wikipedia.org/wiki/Barry_Mahon
Charles Maigne,,1916-1928,1879-11-11,"Richmond, Virginia, USA","Screenwriter, film director",1,https://en.wikipedia.org/wiki/Charles_Maigne
Norman Mailer,,,1923-01-31,,"Novelist, essayist, journalist, columnist, poet, playwright",1,https://en.wikipedia.org/wiki/Norman_Mailer
Alan Mak,,,1965-01-01,Hong Kong,"Writer, director, actor, producer",0,https://en.wikipedia.org/wiki/Alan_Mak_(director)
Dušan Makavejev,EducationUniversity of Belgrade,1965–1996,1932-10-13,"Belgrade, Kingdom of Yugoslavia",Film director Screenwriter,1,https://en.wikipedia.org/wiki/Du%C5%A1an_Makavejev
Mohsen Makhmalbaf,,1981–present,1957-05-29,"Tehran, Iran",,0,https://en.wikipedia.org/wiki/Mohsen_Makhmalbaf
Samira Makhmalbaf,,1998–present,1980-02-15,"Tehran, Iran","Film director, producer, screenwriter",0,https://en.wikipedia.org/wiki/Samira_Makhmalbaf
Károly Makk,,1954 – 2017,1925-12-22,"Berettyóújfalu, Hungary","Film director, screenwriter",1,https://en.wikipedia.org/wiki/K%C3%A1roly_Makk
Sundeep Malani,,1991–present,1971-11-19,"Mumbai, Maharashtra","Film director, film actor, screenplay writer, documentary film maker, choreographer, and film critic",0,https://en.wikipedia.org/wiki/Sundeep_Malani
Terrence Malick,,1969–present,1943-11-30,"Ottawa, Illinois, U.S.","Film director, screenwriter, producer",0,https://en.wikipedia.org/wiki/Terrence_Malick
Louis Malle,,1953–1995,1932-10-30,"Thumeries, Nord, France","Film director, screenwriter, producer",1,https://en.wikipedia.org/wiki/Louis_Malle
Leo D. Maloney,,1911-1929,"BornJanuary 4, 1888Santa Rosa, California, USA","Santa Rosa, California, USA","Actor, film director, film producer, screenwriter",1,https://en.wikipedia.org/wiki/Leo_D._Maloney
Djibril Diop Mambéty,,,"BornJanuary 23, 1945Colobane, Dakar, Senegal","Colobane, Dakar, Senegal",,1,https://en.wikipedia.org/wiki/Djibril_Diop_Mamb%C3%A9ty
Manakis brothers,,1964[2,"Born1878 (Yanaki)1882 (Milton)Avdella, Monastir, Ottoman Empire","Avdella, Monastir, Ottoman Empire","Filmmakers, photographers",1,https://en.wikipedia.org/wiki/Manakis_brothers
Milcho Manchevski,,1978–present,"BornSkopje, Macedonia, Yugoslavia","Skopje, Macedonia, Yugoslavia","Film director, screenwriter, photographer, writer, artist",0,https://en.wikipedia.org/wiki/Milcho_Manchevski
James Mangold,EducationCalifornia Institute of the Arts (BFA)Columbia University (MFA),1985–present,1963-12-16,"New York City, New York, U.S.",Film directorscreenwriter,0,https://en.wikipedia.org/wiki/James_Mangold
Joseph L. Mankiewicz,,1929–1972,1909-02-11,"Wilkes-Barre, Pennsylvania, U.S.","Writer, director, producer",1,https://en.wikipedia.org/wiki/Joseph_L._Mankiewicz
Anthony Mann,,1925–1967,1906-06-30,"San Diego, California, United States",,1,https://en.wikipedia.org/wiki/Anthony_Mann
Daniel Mann,,,1912-08-08,"Brooklyn, New York, U.S.",,1,https://en.wikipedia.org/wiki/Daniel_Mann
Delbert Mann,EducationVanderbilt University (BA)Yale University (MFA),1949–1994,1920-01-30,"Lawrence, Kansas, U.S.",Director,1,https://en.wikipedia.org/wiki/Delbert_Mann
Michael Mann,,1968–present,1943-02-05,"Chicago, Illinois, U.S.",Director screenwriter producer,0,https://en.wikipedia.org/wiki/Michael_Mann
Guy Manos,,,1959-09-07,"Cleveland, Ohio, United States",,0,https://en.wikipedia.org/wiki/Guy_Manos
Sophie Marceau,EducationLycée Élisa Lemonnier,1980–present,1966-11-17,"Paris, France","Actress, Director, Screenwriter",0,https://en.wikipedia.org/wiki/Sophie_Marceau
Bam Margera,,1997–present[1,1979-09-28,"West Chester, Pennsylvania, U.S.",Skateboarderstunt performeractormusicianfilmmakertelevision personality,0,https://en.wikipedia.org/wiki/Bam_Margera
Edwin L. Marin,,1932–1951,1899-02-21,"Jersey City, New Jersey",Film director,1,https://en.wikipedia.org/wiki/Edwin_L._Marin
José Mojica Marins,,,1936-03-13,"São Paulo, Brazil",FilmmakerFilm actorTelevision actorMedia personalityHorror host,1,https://en.wikipedia.org/wiki/Jos%C3%A9_Mojica_Marins
Chris Marker,,,1921-07-29,"Neuilly-sur-Seine, Île-de-France, France","Film director, photographer, journalist, multimedia artist",1,https://en.wikipedia.org/wiki/Chris_Marker
Richard Marquand,,,1937-09-22,"Llanishen, Cardiff, Wales",Film director,1,https://en.wikipedia.org/wiki/Richard_Marquand
Laïla Marrakchi,,,1975-12-10,"Casablanca, Morocco",Filmmaker,0,https://en.wikipedia.org/wiki/La%C3%AFla_Marrakchi
Frank Marshall,,1968–present,1946-09-13,"Glendale, California, United States","Film producer, film director",0,https://en.wikipedia.org/wiki/Frank_Marshall_(film_producer)
Garry Marshall,EducationDe Witt Clinton High School,1959–2016,1934-11-13,"The Bronx, New York, U.S.","Film director, film producer, screenwriter, actor",1,https://en.wikipedia.org/wiki/Garry_Marshall
George Marshall,,1915–1975,1891-12-29,"Chicago, Illinois, United States","Actor, screenwriter, producer, film and television director",1,https://en.wikipedia.org/wiki/George_Marshall_(director)
Neil Marshall,,1989–present,1970-05-25,"Newcastle upon Tyne, Tyne and Wear, England",Director editor screenwriter,0,https://en.wikipedia.org/wiki/Neil_Marshall
Penny Marshall,,1968–2018,1943-10-15,"New York City, New York, U.S.","Actress, director, producer",1,https://en.wikipedia.org/wiki/Penny_Marshall
Marco Martins,,1994-present,"Born1972 (age 47–48)Lisbon, Portugal","Lisbon, Portugal",film director,0,https://en.wikipedia.org/wiki/Marco_Martins
Leslie H. Martinson,,,1915-01-16,"Boston, Massachusetts, United States",Director,1,https://en.wikipedia.org/wiki/Leslie_H._Martinson
Andrew Marton,,1929-1969,1904-01-26,"Budapest, Hungary","Film director, second unit director",1,https://en.wikipedia.org/wiki/Andrew_Marton
Camillo Mastrocinque,,1937-1968,1901-05-11,"Rome, Italy","Film director, screenwriter",1,https://en.wikipedia.org/wiki/Camillo_Mastrocinque
Sean Mathias,,1977–present,1956-03-14,"Swansea, Wales","Theatre director, film director, writer, actor",0,https://en.wikipedia.org/wiki/Sean_Mathias
Melina Matsoukas,,2006–present,1981-01-14,U.S.,Director,0,https://en.wikipedia.org/wiki/Melina_Matsoukas
Bruno Mattei,,1956–2007,1931-07-30,"Rome, Italy",,1,https://en.wikipedia.org/wiki/Bruno_Mattei
Elaine May,,2016–present,1932-04-21,"Philadelphia, Pennsylvania, U.S.",Film director actress comedian screenwriter,0,https://en.wikipedia.org/wiki/Elaine_May
Archie Mayo,,,"BornArchibald L. MayoJanuary 29, 1891New York City, New York, United States","New York City, New York, United States","Film director, screenwriter, actor",1,https://en.wikipedia.org/wiki/Archie_Mayo
Brad Mays,,1970–present,1955-05-30,"St. Louis, Missouri","Filmmaker, writer",0,https://en.wikipedia.org/wiki/Brad_Mays
Paul Mazursky,,1953–2011,1930-04-25,"Brooklyn, New York, U.S.",Film directorscreenwriteractor,1,https://en.wikipedia.org/wiki/Paul_Mazursky
Jim McBride,,,"BornSeptember 16, 1941New York, United States","New York, United States","Television and film director, producer, screenwriter",0,https://en.wikipedia.org/wiki/Jim_McBride
Leo McCarey,,,1898-10-03,"Los Angeles, California, U.S.",Directorproducerscreenwriter,1,https://en.wikipedia.org/wiki/Leo_McCarey
Ray McCarey,,1926–1948,1904-09-06,"Los Angeles, California, U.S.",Film director,1,https://en.wikipedia.org/wiki/Ray_McCarey
Tom McCarthy,EducationBoston College (BA)Yale University (MFA),1992–present,1966-06-07,"New Providence, New Jersey, U.S.","Actor, film director, screenwriter",0,https://en.wikipedia.org/wiki/Tom_McCarthy_(director)
Martin McDonagh,,1996–present,1970-03-26,"Camberwell, London, England","Playwright, screenwriter, film director",0,https://en.wikipedia.org/wiki/Martin_McDonagh
Frank McDonald,,,1899-11-09,"Baltimore, MD, USA",Film director,1,https://en.wikipedia.org/wiki/Frank_McDonald_(director)
Bernard McEveety,,,1924-05-13,"New Rochelle, New YorkUnited States","Film, television director",1,https://en.wikipedia.org/wiki/Bernard_McEveety
Vincent McEveety,,1957–2000,1929-08-10,"Los Angeles, California, United States","Film director, television producer, television director",1,https://en.wikipedia.org/wiki/Vincent_McEveety
McG,,1993–present,1968-08-09,"Kalamazoo, Michigan, U.S.","Director, producer, screenwriter",0,https://en.wikipedia.org/wiki/McG
William C. McGann,,1930–1942,1893-04-15,"Pittsburgh, Pennsylvania, USA",Film director,1,https://en.wikipedia.org/wiki/William_C._McGann
Scott McGehee,"EducationColumbia College, Columbia University",1993–present,1962-04-20,"Orange County, California, U.S.","Film director, producer, screenwriter",0,https://en.wikipedia.org/wiki/Scott_McGehee
J. P. McGowan,,1910–1938,1880-02-24,"Terowie, South Australia, Australia",ActorDirectorWriter,1,https://en.wikipedia.org/wiki/J._P._McGowan
Robert F. McGowan,,1921–1946,1882-07-11,"Denver, Colorado, US","Film director, film producer",1,https://en.wikipedia.org/wiki/Robert_F._McGowan
Paul McGuigan,,1998–present,1963-09-19,"Bellshill, Scotland",Film and television director,0,https://en.wikipedia.org/wiki/Paul_McGuigan_(filmmaker)
Lucky McKee,,,1975-11-01,"Jenny Lind, California, U.S.","Writer, producer, director, actor",0,https://en.wikipedia.org/wiki/Lucky_McKee
Norman McLaren,,1933 – 1983,1914-04-11,"Stirling, Scotland, United Kingdom",Animatordirectorproducer,1,https://en.wikipedia.org/wiki/Norman_McLaren
Norman Z. McLeod,,,1898-09-20,"Grayling, Michigan, US","Film director, cartoonist, writer",1,https://en.wikipedia.org/wiki/Norman_Z._McLeod
John McNaughton,,1984–present,1950-01-13,"Chicago, Illinois, U.S.","Film director, television director",0,https://en.wikipedia.org/wiki/John_McNaughton
Daniel McNicoll,,2007–current,BornDaniel McNicollUnited States,United States,Film directorFilm producerScreenwriter,0,https://en.wikipedia.org/wiki/Daniel_McNicoll
John McTiernan,EducationJuilliard School (BFA)American Film Institute (MFA)[1],2017-present,1951-01-08,"Albany, New York, U.S.",Filmmaker,0,https://en.wikipedia.org/wiki/John_McTiernan
Shane Meadows,,1995–present,1972-12-26,"Uttoxeter, Staffordshire, England",Directorscreenwriteractor,0,https://en.wikipedia.org/wiki/Shane_Meadows
Dariush Mehrjui,,1966–present,1939-12-08,"Tehran, Iran",Film directorScreenwriter,0,https://en.wikipedia.org/wiki/Dariush_Mehrjui
Deepa Mehta,,1976–present,1950-01-01,"Amritsar, East Punjab, India","Film director, screenwriter, film producer",0,https://en.wikipedia.org/wiki/Deepa_Mehta
Gus Meins,,1922 - 1940,1893-03-06,"Frankfurt, Germany",Film director,1,https://en.wikipedia.org/wiki/Gus_Meins
Fernando Meirelles,,1982–present,1955-11-09,"São Paulo, Brazil",Film directorproducerscreenwriter,0,https://en.wikipedia.org/wiki/Fernando_Meirelles
Adolfas Mekas,,,1925-09-30,"Semeniškiai, Lithuania",,1,https://en.wikipedia.org/wiki/Adolfas_Mekas
Jonas Mekas,,,1922-12-24,,"Poet, filmmaker, artist",1,https://en.wikipedia.org/wiki/Jonas_Mekas
Bill Melendez,,1938–2006,1916-11-15,"Hermosillo, Sonora, Mexico","Animator, film director, producer, voice actor",1,https://en.wikipedia.org/wiki/Bill_Melendez
George Melford,,1909–1960,1877-02-19,"Rochester, New York, U.S.","Actor, director, screenwriter, producer",1,https://en.wikipedia.org/wiki/George_Melford
Wilco Melissant,,,1968-12-08,,Dutch director,0,https://en.wikipedia.org/wiki/Wilco_Melissant
Craig Melville,,,"BornCraig James MelvilleMelbourne, Australia","Melbourne, Australia",DirectorProducer,0,https://en.wikipedia.org/wiki/Craig_Melville
Jean-Pierre Melville,,,1917-10-20,"Paris, France","Film director, screenwriter",1,https://en.wikipedia.org/wiki/Jean-Pierre_Melville
Sam Mendes,EducationMagdalen College School,1993–present,1965-08-01,"Reading, Berkshire, England","Film director, film producer, screenwriter, stage director",0,https://en.wikipedia.org/wiki/Sam_Mendes
Chris Menges,,,1940-09-15,"Kington, Herefordshire, England",,0,https://en.wikipedia.org/wiki/Chris_Menges
E. Elias Merhige,,,1964-06-14,"Brooklyn, New York City, New York, United States",Film director; screenwriter,0,https://en.wikipedia.org/wiki/E._Elias_Merhige
Russ Meyer,,1947-1979,1922-03-21,"San Leandro, California, U.S.",,1,https://en.wikipedia.org/wiki/Russ_Meyer
Leah Meyerhoff,,,"BornSan Francisco, California, U.S.","San Francisco, California, U.S.","director, producer, screenwriter, and actor",0,https://en.wikipedia.org/wiki/Leah_Meyerhoff
Georges Méliès,,1888–1923,1861-12-08,"Paris, France","Film director, actor, set designer, illusionist, toymaker, costume designer",1,https://en.wikipedia.org/wiki/Georges_M%C3%A9li%C3%A8s
Oscar Micheaux,,,1884-01-02,"Metropolis, Illinois, United States","Director, author",1,https://en.wikipedia.org/wiki/Oscar_Micheaux
Roger Michell,,,1956-06-05,"Pretoria, South Africa",,0,https://en.wikipedia.org/wiki/Roger_Michell
Takashi Miike,,1991–present,1960-08-24,"Yao, Osaka, Japan","Actor, director, producer, writer",0,https://en.wikipedia.org/wiki/Takashi_Miike
Nikita Mikhalkov,,1959–present,1945-10-21,"Moscow, Russian SFSR, Soviet Union","Filmmaker, actor",0,https://en.wikipedia.org/wiki/Nikita_Mikhalkov
John Milius,,1966–present,1944-04-11,"St. Louis, Missouri, U.S.",ScreenwriterFilm directorFilm producerActor,0,https://en.wikipedia.org/wiki/John_Milius
Frank Miller,,,1957-01-27,,"Writer, penciller, inker, film director",0,https://en.wikipedia.org/wiki/Frank_Miller_(comics)
George Miller,EducationSydney Boys High School Ipswich Grammar School,1970–present,1945-03-03,"Brisbane, Queensland, Australia","Film director, film producer, screenwriter, physician",0,https://en.wikipedia.org/wiki/George_Miller_(producer)
Kara Miller,,2005–present,"BornKara K. J. MillerSt. Andrew, Jamaica","St. Andrew, Jamaica",Writer,0,https://en.wikipedia.org/wiki/Kara_Miller
Robert Ellis Miller,,1959-1996,1927-07-18,"New York City, New York, USA",Film director,1,https://en.wikipedia.org/wiki/Robert_Ellis_Miller
Sharron Miller,,,"BornEnid, Oklahoma","Enid, Oklahoma","Director, screenwriter, producer",0,https://en.wikipedia.org/wiki/Sharron_Miller
Anthony Minghella,,1981–2008,1954-01-06,"Ryde, Isle of Wight, England",Filmmaker,1,https://en.wikipedia.org/wiki/Anthony_Minghella
Rob Minkoff,EducationPalo Alto High School,1985–present,1962-08-11,"Palo Alto, California, U.S.",Film directorfilm produceranimatorscreenwriter,0,https://en.wikipedia.org/wiki/Rob_Minkoff
Vincente Minnelli,,1928–1976,1903-02-28,"Chicago, Illinois, U.S.",,1,https://en.wikipedia.org/wiki/Vincente_Minnelli
Howard M. Mitchell,,1910-1952,1883-12-11,"Pittsburgh, Pennsylvania, United States",ActorFilm director,1,https://en.wikipedia.org/wiki/Howard_M._Mitchell
John Cameron Mitchell,,1983–present,1963-04-21,"El Paso, Texas, U.S.","Actor, playwright, screenwriter, film director",0,https://en.wikipedia.org/wiki/John_Cameron_Mitchell
Noël Mitrani,,,1969-11-11,"Toronto, Ontario","Film director, Producer and Writer",0,https://en.wikipedia.org/wiki/No%C3%ABl_Mitrani
Kenji Mizoguchi,,1923–1956,1898-05-16,"Hongo, Tokyo, Japan","film director, screenwriter, editor",1,https://en.wikipedia.org/wiki/Kenji_Mizoguchi
Édouard Molinaro,,1946–2013,1928-05-13,"Bordeaux, France",Film directorScreenwriter,1,https://en.wikipedia.org/wiki/%C3%89douard_Molinaro
Mario Monicelli,,1935–2010,1915-05-16,"Rome, Italy","Screenwriter, director, actor",1,https://en.wikipedia.org/wiki/Mario_Monicelli
Cesar Montano,,1981–present,1962-08-01,"Manila, Philippines","Actor, film producer, film director",0,https://en.wikipedia.org/wiki/Cesar_Montano
Eduardo Montes-Bradley,,1979–present,1960-07-09,Córdoba.,"Filmmaker, photographer, writer",0,https://en.wikipedia.org/wiki/Eduardo_Montes-Bradley
Dave Moody,,1980s-present,1962-05-24,,"singer-songwriter, session musician, producer, composer, filmmaker",0,https://en.wikipedia.org/wiki/Dave_Moody
Lukas Moodysson,,1998–present,1969-01-17,"Lund, Sweden",Filmmaker writer,0,https://en.wikipedia.org/wiki/Lukas_Moodysson
Michael Moore,,1976–present,1954-04-23,"Davison, Michigan, U.S.","Filmmaker, author",0,https://en.wikipedia.org/wiki/Michael_Moore
Robert Moore,,,1927-02-01,"Detroit, Michigan, United States","Theatre director, film director",1,https://en.wikipedia.org/wiki/Robert_Moore_(director)
Jocelyn Moorhouse,,,1960-09-04,"Melbourne, Victoria, Australia","Film director, screenwriter",0,https://en.wikipedia.org/wiki/Jocelyn_Moorhouse
Ken Mora,"EducationUniversity of Southern California (ROSKI School of Fine Arts), Los Angeles",,1960-12-17,,,0,https://en.wikipedia.org/wiki/Ken_Mora
Jacobo Morales,,1950–present,1934-11-12,"Lajas, Puerto Rico","Actor, poet, writer, playwright, director and auteur",0,https://en.wikipedia.org/wiki/Jacobo_Morales
Pierre Morel,,2002–present,1964-05-12,France,"Film director, cinematographer",0,https://en.wikipedia.org/wiki/Pierre_Morel
Nanni Moretti,,1976–present,1953-08-19,"Bruneck, South Tyrol, Italy","Actor, Director,Screenwriter, Producer",0,https://en.wikipedia.org/wiki/Nanni_Moretti
Sidney Morgan,,1908-1931,1883-10-31,"Dublin, Ireland",Actor,1,https://en.wikipedia.org/wiki/Sidney_Morgan
Anders Morgenthaler,,,1972-12-05,,"Artist, Writer, Animator, Film director",0,https://en.wikipedia.org/wiki/Anders_Morgenthaler
Errol Morris,,1978–present,1948-02-05,"Hewlett, New York, U.S.",Film director,0,https://en.wikipedia.org/wiki/Errol_Morris
Terry O. Morse,,,"BornJanuary 30, 1906St. Louis, Missouri, United States","St. Louis, Missouri, United States","Film director, editor",1,https://en.wikipedia.org/wiki/Terry_O._Morse
Cynthia Mort,,,1956-06-18,"Detroit, Michigan, U.S.",,0,https://en.wikipedia.org/wiki/Cynthia_Mort
Edmund Mortimer,,1913-1945,"BornAugust 21, 1874New York, New York, USA","New York, New York, USA","Actor, film director",1,https://en.wikipedia.org/wiki/Edmund_Mortimer_(actor)
Greg Mottola,EducationCarnegie Mellon University (BFA)Columbia University (MFA),,1964-07-11,"Dix Hills, New York, U.S.","Film director, screenwriter, television director",0,https://en.wikipedia.org/wiki/Greg_Mottola
Wagner Moura,,1996–present,1976-06-27,"Salvador, Bahia, Brazil",Actor,0,https://en.wikipedia.org/wiki/Wagner_Moura
Allan Moyle,,1974–present,"Born1947 (age 72–73)Shawinigan, Quebec, Canada","Shawinigan, Quebec, Canada","Film director, actor, screenwriter",0,https://en.wikipedia.org/wiki/Allan_Moyle
Otto Muehl,,,1925-06-16,"Grodnau, Mariasdorf, Austria",,1,https://en.wikipedia.org/wiki/Otto_Muehl
Russell Mulcahy,EducationCorrimal High School,,1953-06-23,"Melbourne, Victoria, Australia","Film director, screenwriter",0,https://en.wikipedia.org/wiki/Russell_Mulcahy
Robert Mulligan,,1948–1992,1925-08-23,"New York City, U.S.",Director,1,https://en.wikipedia.org/wiki/Robert_Mulligan
Andrzej Munk,,,1921-10-16,"Kraków, Poland",,1,https://en.wikipedia.org/wiki/Andrzej_Munk
Kira Muratova,,1961–2018,1934-11-05,"Soroca, Kingdom of Romania (now Moldova)",Film directorScreenwriter,1,https://en.wikipedia.org/wiki/Kira_Muratova
F. W. Murnau,,1919–1931,1888-12-28,"Bielefeld, Province of Westphalia, German Empire",Film director,1,https://en.wikipedia.org/wiki/F._W._Murnau
Dudley Murphy,,,1897-07-10,"Winchester, Massachusetts, United States",Film director Writer Actor,1,https://en.wikipedia.org/wiki/Dudley_Murphy
Geoff Murphy,,1977–2018,1938-10-12,"Wellington, New Zealand","Film director, film producer, screenwriter",1,https://en.wikipedia.org/wiki/Geoff_Murphy
Ryan Murphy,,,1965-11-09,,Screenwriterdirectorproducer,0,https://en.wikipedia.org/wiki/Ryan_Murphy_(writer)
John Musker,,1978–present,1953-11-08,"Chicago, Illinois, U.S.","Animator, animation director, screenwriter, producer",0,https://en.wikipedia.org/wiki/John_Musker
Floyd Mutrux,,,1941-06-21,United States,"Writer, film director",0,https://en.wikipedia.org/wiki/Floyd_Mutrux
Daniel Myrick,,,1963-09-03,"Sarasota, Florida, U.S.","Film director, Film producer, Screenwriter, Editor",0,https://en.wikipedia.org/wiki/Daniel_Myrick
Nadeem Baig,,2009–present,1975-03-24,"Karachi, Pakistan",DirectorActorProducerWriter,0,https://en.wikipedia.org/wiki/Nadeem_Baig_(director)
Amir Naderi,,,1946-08-15,"Abadan, Iran","Film director, screenwriter, photographer",0,https://en.wikipedia.org/wiki/Amir_Naderi
Mira Nair,"EducationMiranda House, University of DelhiHarvard University",1986–present,1957-10-15,"Rourkela, Orissa, India (present-day Odisha, India)","Film director, film producer",0,https://en.wikipedia.org/wiki/Mira_Nair
Ilya Naishuller,,2008–present,1983-11-19,"Moscow, Russian SFSR, Soviet Union",Musician Filmmaker,0,https://en.wikipedia.org/wiki/Ilya_Naishuller
Hideo Nakata,,,1961-07-19,"Okayama, Japan",Filmmaker,0,https://en.wikipedia.org/wiki/Hideo_Nakata
Mikio Naruse,,1930–1967,1905-08-20,"Tokyo, Japan","Film director, writerand producer",1,https://en.wikipedia.org/wiki/Mikio_Naruse
Percy Nash,,1912 - 1932,Born1869Kensington,Kensington,"Film director, screenwriter, producer",1,https://en.wikipedia.org/wiki/Percy_Nash
Vincenzo Natali,,1997–present,1969-01-06,"Detroit, Michigan, U.S.","Film director, screenwriter",0,https://en.wikipedia.org/wiki/Vincenzo_Natali
Gregory Nava,,,1949-04-10,"San Diego, California, United States",Film directorproducerwriter,0,https://en.wikipedia.org/wiki/Gregory_Nava
Ray Nazarro,,1929-1964,1902-09-25,"Boston, Massachusetts","Film and television director, producer, screenwriter",1,https://en.wikipedia.org/wiki/Ray_Nazarro
Ronald Neame,EducationHurstpierpoint College,1939–1991,1911-04-23,"London, England, U.K.","Director, cinematographer, producer, screenwriter",1,https://en.wikipedia.org/wiki/Ronald_Neame
Jean Negulesco,,1918–1970,"Born29 February 1900 (O.S.)Craiova, Dolj, Romania","Craiova, Dolj, Romania","Artist, film director, screenwriter, film producer",1,https://en.wikipedia.org/wiki/Jean_Negulesco
Marshall Neilan,,1912-1957,1891-04-11,"San Bernardino, California, U.S.","Actor, Screenwriter, Director, Producer",1,https://en.wikipedia.org/wiki/Marshall_Neilan
Roy William Neill,,1917–1946,1887-09-04,Ireland,Film director,1,https://en.wikipedia.org/wiki/Roy_William_Neill
Gary Nelson,,,"Born1934 (age 85–86)Los Angeles, California, United States","Los Angeles, California, United States","Film director, television director",0,https://en.wikipedia.org/wiki/Gary_Nelson_(director)
Gene Nelson,,1938–1980,1920-03-24,"Astoria, Oregon, U.S.","Actor, dancer, screenwriter, director",1,https://en.wikipedia.org/wiki/Gene_Nelson
Ralph Nelson,,1950–1979,1916-08-12,"Long Island City, New York, U.S.",,1,https://en.wikipedia.org/wiki/Ralph_Nelson
Ozzie Nelson,,,1906-03-20,"Jersey City, New Jersey, U.S.","Actor, band leader, producer, director",1,https://en.wikipedia.org/wiki/Ozzie_Nelson
Laura Neri,,2004-present,"BornBrussels, Belgium","Brussels, Belgium",,0,https://en.wikipedia.org/wiki/Laura_Neri
Max Neufeld,,1913–1957,1887-02-13,"Guntersdorf, Lower Austria, Austria-Hungary (now Austria)","Film director, actor, screenwriter",1,https://en.wikipedia.org/wiki/Max_Neufeld
Kurt Neumann,,,1908-04-05,"Nuremberg, Germany",Film director,1,https://en.wikipedia.org/wiki/Kurt_Neumann_(director)
Mike Newell,,1960–present,1942-03-28,"St Albans, Hertfordshire, England","Director, producer",0,https://en.wikipedia.org/wiki/Mike_Newell_(director)
Sam Newfield,,1958[2,1899-12-06,New York City[1],Director,1,https://en.wikipedia.org/wiki/Sam_Newfield
Joseph Newman,,1933 – 1965,1909-08-17,"Logan, Utah, United States",Film director,1,https://en.wikipedia.org/wiki/Joseph_M._Newman
Fred Newmeyer,,,1888-08-09,"Central City, Colorado, U.S.","Actor, film director, film producer",1,https://en.wikipedia.org/wiki/Fred_C._Newmeyer
Thuc Nguyen,,2003 – present,BornThuc Doan NguyenVietnam,Vietnam,"Filmmaker, Screenwriter, Film Producer",0,https://en.wikipedia.org/wiki/Thuc_Doan_Nguyen
Fred Niblo,,1916–1932,1874-01-06,"York, Nebraska, United States","Film director, actor",1,https://en.wikipedia.org/wiki/Fred_Niblo
Andrew Niccol,,,1964-06-10,"Paraparaumu, Kapiti Coast District, New Zealand","Screenwriter, Film director, Film producer",0,https://en.wikipedia.org/wiki/Andrew_Niccol
George Nicholls Jr.,,1928–39,1897-05-05,"San Francisco, California, United States","Director, editor",1,https://en.wikipedia.org/wiki/George_Nicholls_Jr.
Mike Nichols,,1955–2014,1931-11-06,"Berlin, Weimar Republic(now Germany)",Film directortheatre directorfilm produceractorcomedian,1,https://en.wikipedia.org/wiki/Mike_Nichols
Jack Nicholson,,1953–2010,1937-04-22,"Neptune City, New Jersey, U.S.","Actor, director, producer, screenwriter",0,https://en.wikipedia.org/wiki/Jack_Nicholson
William Nigh,,1913–1948,1881-10-12,"Berlin, Wisconsin","Director, screenwriter, actor",1,https://en.wikipedia.org/wiki/William_Nigh
Nikos Nikolaidis,,1960–2007,1939-10-25,"Athens, Greece",Film directorScreenwriterFilm producerWriterTheatre directorAssistant directorRecord producerTelevision directorCommercial director,1,https://en.wikipedia.org/wiki/Nikos_Nikolaidis
Leopoldo Torre Nilsson,,,1924-05-05,"Buenos Aires, Argentina",Film director,1,https://en.wikipedia.org/wiki/Leopoldo_Torre_Nilsson
Rob Nilsson,,1978–present,1939-10-29,"Rhinelander, Wisconsin",film director; actor; poet; painter,0,https://en.wikipedia.org/wiki/Rob_Nilsson
Leonard Nimoy,,2015[1][2,1931-03-26,"Boston, Massachusetts, U.S.",Actor author film director singer songwriter photographer,1,https://en.wikipedia.org/wiki/Leonard_Nimoy
Marcus Nispel,,,"BornFrankfurt, Germany","Frankfurt, Germany","film director, producer",0,https://en.wikipedia.org/wiki/Marcus_Nispel
Manfred Noa,,1916 - 1930,"Born22 March 1893Berlin, German Empire","Berlin, German Empire",Film director,1,https://en.wikipedia.org/wiki/Manfred_Noa
Gaspar Noé,,1985–present,1963-12-27,"Buenos Aires, Argentina",Film director screenwriter film editor cinematographer film producer,0,https://en.wikipedia.org/wiki/Gaspar_No%C3%A9
Christopher Nolan,,1989–present,1970-07-30,"Westminster, London, England",Filmmaker,0,https://en.wikipedia.org/wiki/Christopher_Nolan
Tom Noonan,,1978–present,1951-04-12,"Greenwich, Connecticut, U.S.",,0,https://en.wikipedia.org/wiki/Tom_Noonan
Syed Noor,,1970–present,1950-02-21,"Lahore, Pakistan","Film director, producer, writer and actor",0,https://en.wikipedia.org/wiki/Syed_Noor
Jehane Noujaim,,1996–present,1974-05-17,"Washington, D.C.",Documentary film director,0,https://en.wikipedia.org/wiki/Jehane_Noujaim
Wilfred Noy,,1910-1939,1883-12-24,"South Kensington, London, England",Film directorActorScreenwriterFilm producer,1,https://en.wikipedia.org/wiki/Wilfred_Noy
Phillip Noyce,,1969-present,1950-04-29,"Griffith, New South Wales,Australia",Directorproducerscreenwriter,0,https://en.wikipedia.org/wiki/Phillip_Noyce
Elliott Nugent,,,"BornSeptember 20, 1896Dover, Ohio","Dover, Ohio",,1,https://en.wikipedia.org/wiki/Elliott_Nugent
